Elev,Lat,Lon,Timestamp
-68.1,33.502821,-115.917029,2023-04-28T14:26:50+00:00
-68.1,33.502929,-115.917071,2023-04-28T14:33:00+00:00
-67.9,33.503055,-115.917124,2023-04-28T14:35:55+00:00
-68.0,33.503181,-115.917212,2023-04-28T14:40:08+00:00
-68.0,33.503415,-115.91731,2023-04-28T14:49:51+00:00
-68.0,33.503622,-115.917413,2023-04-28T14:53:52+00:00
-68.0,33.503975,-115.917675,2023-04-28T14:57:45+00:00
-68.2,33.504334,-115.917939,2023-04-28T15:03:12+00:00
-68.1,33.441003,-115.84773,2023-04-28T15:49:27+00:00
-68.1,33.440642,-115.847544,2023-04-28T15:53:23+00:00
-68.1,33.440467,-115.847391,2023-04-28T15:56:59+00:00
-68.1,33.440163,-115.846958,2023-04-28T16:02:36+00:00
-68.2,33.439763,-115.846735,2023-04-28T16:06:30+00:00
-68.1,33.439293,-115.846312,2023-04-28T16:12:08+00:00
-68.1,33.438809,-115.846041,2023-04-28T16:16:40+00:00
-68.1,33.438444,-115.845917,2023-04-28T16:20:46+00:00
-69.0,33.345243,-115.690781,2023-04-29T15:22:36+00:00
-69.2,33.345364,-115.691084,2023-04-29T15:30:14+00:00
-68.4,33.345398,-115.691429,2023-04-29T15:34:25+00:00
-68.9,33.345449,-115.691907,2023-04-29T15:38:33+00:00
-68.5,33.345414,-115.692408,2023-04-29T15:43:17+00:00
-68.5,33.345309,-115.692839,2023-04-29T15:48:02+00:00
-68.5,33.345403,-115.693213,2023-04-29T15:54:31+00:00
-68.4,33.345525,-115.694051,2023-04-29T15:59:28+00:00
-68.4,33.520758,-115.94876,2023-07-25T13:37:02+00:00
-68.0,33.520781,-115.948897,2023-07-25T13:43:59+00:00
-68.7,33.34193,-115.677833,2023-07-26T13:18:19+00:00
-68.5,33.342131,-115.678556,2023-07-26T13:23:34+00:00
-69.9,33.342049,-115.678846,2023-07-26T13:29:17+00:00
-68.6,33.341824,-115.678887,2023-07-26T13:33:20+00:00
-68.8,33.341674,-115.679181,2023-07-26T13:38:35+00:00
-68.6,33.341483,-115.679144,2023-07-26T13:42:39+00:00
-68.4,33.341346,-115.679038,2023-07-26T13:47:04+00:00
-67.5,33.162207,-115.649253,2023-07-27T14:20:38+00:00
-67.8,33.16288,-115.648883,2023-07-27T14:26:52+00:00
-67.6,33.163219,-115.648679,2023-07-27T14:30:50+00:00
-68.3,33.344259,-115.692696,2023-10-01T17:37:39+00:00
-68.4,33.344227,-115.693112,2023-10-01T17:42:03+00:00
-68.4,33.344184,-115.69379,2023-10-01T17:52:06+00:00
-68.3,33.34404,-115.693984,2023-10-01T17:55:47+00:00
-68.5,33.344201,-115.694175,2023-10-01T17:58:51+00:00
-68.5,33.344422,-115.694645,2023-10-01T18:02:26+00:00
-68.8,33.344224,-115.694884,2023-10-01T18:07:13+00:00
-68.4,33.503609,-115.917759,2023-10-01T21:42:53+00:00
-68.3,33.503367,-115.917587,2023-10-01T21:47:36+00:00
-68.3,33.502531,-115.917049,2023-10-01T21:54:53+00:00
-68.0,33.441828,-115.850136,2023-10-01T22:42:51+00:00
-68.1,33.441852,-115.850239,2023-10-01T22:48:59+00:00
-68.1,33.441753,-115.850415,2023-10-01T22:53:04+00:00
-68.1,33.441654,-115.850578,2023-10-01T22:56:42+00:00
-68.1,33.441641,-115.850847,2023-10-01T23:02:38+00:00
-68.0,33.44165,-115.851044,2023-10-01T23:07:02+00:00
-68.0,33.441689,-115.85136,2023-10-01T23:12:03+00:00
-68.0,33.441997,-115.851523,2023-10-01T23:16:40+00:00
